Skill Name,ID,Mechanic,Class,Skill Line,Set Name,#,Description,Equations
Mystic Orb 3,43412,Werewolf,Guild,Undaunted,,6,"Project a globe of annihilation that slowly floats forward, dealing <<1>> every <<2>> to nearby enemies.   While the orb is active you gain <<3>> Health, Magicka, and Stamina Recovery.  An ally near the globe can activate the <<4>> synergy, causing the orb to explode for <<5>> to nearby enemies and restore <<6>> Magicka or Stamina to the ally, whichever maximum is higher.","<<1>> = 0.0144427 MaxStat + 0.15155 MaxPower - 2.87118  (Ultimate, ratio = 10.49, Dmg, Magic, AOE, DOT, 1s tick, R2 = 0.999993) <<2>> = 1 second (Constant) <<3>> = 90 (Constant) <<4>> = Combustion (Constant) <<5>> = 0.0999573 MaxStat + 1.05014 MaxPower - 0.660979  (Ultimate, ratio = 10.51, Dmg, Magic, AOE, Direct, Melee, R2 = 1) <<6>> = 3960 (Constant)"
Mystic Orb 4,43415,Werewolf,Guild,Undaunted,,6,"Project a globe of annihilation that slowly floats forward, dealing <<1>> every <<2>> to nearby enemies.   While the orb is active you gain <<3>> Health, Magicka, and Stamina Recovery.  An ally near the globe can activate the <<4>> synergy, causing the orb to explode for <<5>> to nearby enemies and restore <<6>> Magicka or Stamina to the ally, whichever maximum is higher.","<<1>> = 0.0146739 MaxStat + 0.152717 MaxPower - 3.15072  (Ultimate, ratio = 10.41, Dmg, Magic, AOE, DOT, 1s tick, R2 = 0.999979) <<2>> = 1 second (Constant) <<3>> = 100 (Constant) <<4>> = Combustion (Constant) <<5>> = 0.0999573 MaxStat + 1.05014 MaxPower - 0.660979  (Ultimate, ratio = 10.51, Dmg, Magic, AOE, Direct, Melee, R2 = 1) <<6>> = 3960 (Constant)"
Mystic Siphon 1,118008,Werewolf,Necromancer,Grave Lord,,7,"Violently drain the last spark of life from a corpse, dealing <<1>> over <<2>> to all enemies around the corpse and between you and the corpse. You also gain <<3>> and Prophecy for <<4>>, increasing your Weapon and Spell Critical rating by <<5>>.  While siphoning the corpse you gain <<6>> Health, Magicka, and Stamina Recovery.  While slotted, your damage done is increased by <<7>>.","<<1>> = 0.009182 MaxStat + 0.096413 MaxPower  (Ultimate, ratio = 10.50, Dmg, Shock, AOE, DOT, 19.333s duration, 0.666s tick, R2 = 1) <<2>> = 20 seconds (Constant) <<3>> = Major Savagery (Constant) <<4>> = 20 seconds (Constant) <<5>> = 2629 (Constant) <<6>> = 120 (Constant) <<7>> = 3% (Constant)"
Mystic Siphon 2,20118008,Werewolf,Necromancer,Grave Lord,,7,"Violently drain the last spark of life from a corpse, dealing <<1>> over <<2>> to all enemies around the corpse and between you and the corpse. You also gain <<3>> and Prophecy for <<4>>, increasing your Weapon and Spell Critical rating by <<5>>.  While siphoning the corpse you gain <<6>> Health, Magicka, and Stamina Recovery.  While slotted, your damage done is increased by <<7>>.","<<1>> = 0.009182 MaxStat + 0.096413 MaxPower  (Ultimate, ratio = 10.50, Dmg, Shock, AOE, DOT, 19.333s duration, 0.666s tick, R2 = 1) <<2>> = 20 seconds (Constant) <<3>> = Major Savagery (Constant) <<4>> = 20 seconds (Constant) <<5>> = 2629 (Constant) <<6>> = 130 (Constant) <<7>> = 3% (Constant)"
Mystic Siphon 3,30118008,Werewolf,Necromancer,Grave Lord,,7,"Violently drain the last spark of life from a corpse, dealing <<1>> over <<2>> to all enemies around the corpse and between you and the corpse. You also gain <<3>> and Prophecy for <<4>>, increasing your Weapon and Spell Critical rating by <<5>>.  While siphoning the corpse you gain <<6>> Health, Magicka, and Stamina Recovery.  While slotted, your damage done is increased by <<7>>.","<<1>> = 0.009182 MaxStat + 0.096413 MaxPower  (Ultimate, ratio = 10.50, Dmg, Shock, AOE, DOT, 19.333s duration, 0.666s tick, R2 = 1) <<2>> = 20 seconds (Constant) <<3>> = Major Savagery (Constant) <<4>> = 20 seconds (Constant) <<5>> = 2629 (Constant) <<6>> = 140 (Constant) <<7>> = 3% (Constant)"
Mystic Siphon 4,40118008,Werewolf,Necromancer,Grave Lord,,7,"Violently drain the last spark of life from a corpse, dealing <<1>> over <<2>> to all enemies around the corpse and between you and the corpse. You also gain <<3>> and Prophecy for <<4>>, increasing your Weapon and Spell Critical rating by <<5>>.  While siphoning the corpse you gain <<6>> Health, Magicka, and Stamina Recovery.  While slotted, your damage done is increased by <<7>>.","<<1>> = 0.009182 MaxStat + 0.096413 MaxPower  (Ultimate, ratio = 10.50, Dmg, Shock, AOE, DOT, 19.333s duration, 0.666s tick, R2 = 1) <<2>> = 20 seconds (Constant) <<3>> = Major Savagery (Constant) <<4>> = 20 seconds (Constant) <<5>> = 2629 (Constant) <<6>> = 150 (Constant) <<7>> = 3% (Constant)"
Mystical Ward,200150,Magicka,,,,2,"Spells slide off you.   Damage taken by Magical attacks decreased by <<1>> per stack.  Current Bonus: <<2>>  Affects Magic, Flame, Frost and Shock Damage.",<<1>> = 2% (Constant) <<2>> = 0% (Constant)
Naga Shaman,113287,Werewolf,,,Naga Shaman,4,"When you apply a damage shield to yourself or an ally, you gain Minor Mending and Minor Vitality for <<1>>, increasing your healing done by <<2>> and healing received and damage shield strength by <<3>>. This effect can occur once every <<4>>.",<<1>> = 6 seconds (Constant) <<2>> = 8% (Constant) <<3>> = 6% (Constant) <<4>> = 6 seconds (Constant)
Nature's Embrace,91229,Werewolf,,,,2,Pull yourself to a targeted ally. You and ally heal <<1>> every 1 second for <<2>>,"<<1>> = 0.0259158 MaxStat + 0.271081 MaxPower - 1.87958  (Ultimate, ratio = 10.46, Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 0.999997) <<2>> = 10 seconds (Constant)"
Nature's Embrace 1,85858,Werewolf,Warden,Green Balance,,3,"Launch a vine to swing yourself to an ally, healing you and them for <<1>> Health over <<2>>. Gain <<3>> Ultimate when either of these effects complete while you are in combat.","<<1>> = 0.0259158 MaxStat + 0.271082 MaxPower - 1.87958  (Ultimate, ratio = 10.46, Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 0.999997) <<2>> = 10 seconds (Constant) <<3>> = 3 (Constant)"
Nature's Embrace 2,93938,Werewolf,Warden,Green Balance,,3,"Launch a vine to swing yourself to an ally, healing you and them for <<1>> Health over <<2>>. Gain <<3>> Ultimate when either of these effects complete while you are in combat.","<<1>> = 0.0262353 MaxStat + 0.273958 MaxPower - 2.57985  (Ultimate, ratio = 10.44, Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 0.999995) <<2>> = 10 seconds (Constant) <<3>> = 3 (Constant)"
Nature's Embrace 3,93939,Werewolf,Warden,Green Balance,,3,"Launch a vine to swing yourself to an ally, healing you and them for <<1>> Health over <<2>>. Gain <<3>> Ultimate when either of these effects complete while you are in combat.","<<1>> = 0.0264988 MaxStat + 0.277202 MaxPower - 3.00948  (Ultimate, ratio = 10.46, Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 0.999997) <<2>> = 10 seconds (Constant) <<3>> = 3 (Constant)"
Nature's Embrace 4,93940,Werewolf,Warden,Green Balance,,3,"Launch a vine to swing yourself to an ally, healing you and them for <<1>> Health over <<2>>. Gain <<3>> Ultimate when either of these effects complete while you are in combat.","<<1>> = 0.0267263 MaxStat + 0.280045 MaxPower - 1.7237  (Ultimate, ratio = 10.48, Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 0.999998) <<2>> = 10 seconds (Constant) <<3>> = 3 (Constant)"
Nature's Gift 1,85878,Werewolf,Warden,Green Balance,,2,"When you overheal yourself or an ally with a Green Balance ability, you gain <<1>> Magicka and <<1>> Stamina, up to once every <<2>>.",<<1>> = 125 (Constant) <<2>> = 1 second (Constant)
Nature's Gift 2,85879,Werewolf,Warden,Green Balance,,3,"When you overheal yourself or an ally with a Green Balance ability, you gain <<1>> Magicka and <<2>> Stamina, up to once every <<3>>.",<<1>> = 250 (Constant) <<2>> = 250 (Constant) <<3>> = 1 second (Constant)
Nature's Grasp 1,85564,Werewolf,Warden,Green Balance,,3,"Launch a vine to swing yourself to an ally, healing them for <<1>> Health over <<2>>. You gain <<3>> Ultimate when this effect completes if you are in combat.","<<1>> = 0.025 MaxStat + 0.2625 MaxPower  (Ultimate, ratio = 10.50, RankMod(1), Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 1) <<2>> = 10 seconds (Constant) <<3>> = 3 (Constant)"
Nature's Grasp 2,93932,Werewolf,Warden,Green Balance,,3,"Launch a vine to swing yourself to an ally, healing them for <<1>> Health over <<2>>. You gain <<3>> Ultimate when this effect completes if you are in combat.","<<1>> = 0.025275 MaxStat + 0.2653875 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.011), Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 1) <<2>> = 10 seconds (Constant) <<3>> = 3 (Constant)"
Nature's Grasp 3,93933,Werewolf,Warden,Green Balance,,3,"Launch a vine to swing yourself to an ally, healing them for <<1>> Health over <<2>>. You gain <<3>> Ultimate when this effect completes if you are in combat.","<<1>> = 0.02555 MaxStat + 0.268275 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.022), Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 1) <<2>> = 10 seconds (Constant) <<3>> = 3 (Constant)"
Nature's Grasp 4,93934,Werewolf,Warden,Green Balance,,3,"Launch a vine to swing yourself to an ally, healing them for <<1>> Health over <<2>>. You gain <<3>> Ultimate when this effect completes if you are in combat.","<<1>> = 0.025825 MaxStat + 0.2711625 MaxPower  (Ultimate, ratio = 10.50, RankMod(1.033), Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 1) <<2>> = 10 seconds (Constant) <<3>> = 3 (Constant)"
Nazaray,167063,Werewolf,,,Nazaray,1,"When you use an Ultimate ability, the closest 6 enemies within 12 meters have all Major and Minor debuffs applied to them extended by 1 second per 20 Ultimate spent. This effect can occur once every <<1>> per target.",<<1>> = 30 seconds (Constant)
Nazenaechar's Charge,55821,Werewolf,,,,2,,"<<1>> = 0.06 MaxStat + 0.63 MaxPower  (Ultimate, ratio = 10.50, Dmg, Physical, SingleTarget, Direct, Melee, R2 = 1) <<2>> = 3 seconds (Constant)"
Necropotence,32820,Werewolf,,,Necropotence,1,"While you have a pet active, your Max Magicka is increased by <<1>>.",<<1>> = 0 (Constant)
Necrotic Fortification,220557,Magicka,,,,3,Magic breaks against your defenses!  Magic Damage taken decreased by <<1>>.  PART OF THE NECROTIC SET (<<2>>/3 VISIONS) When you acquire 3 unique Necrotic Visions you gain access to the <<3>> Offensive Verse.,<<1>> = 5% (Constant) <<2>> = 0 (Constant) <<3>> = Undead Avatar (Constant)
Necrotic Orb 1,39298,Werewolf,Guild,Undaunted,,6,"Project a globe of annihilation that slowly floats forward for <<1>>, dealing <<2>> every <<3>> to nearby enemies.   An ally near the globe can activate the <<4>> synergy, causing the orb to explode for <<5>> to nearby enemies and restore <<6>> Magicka or Stamina to the ally, whichever maximum is higher.","<<1>> = 10 seconds (Constant) <<2>> = 0.0136369 MaxStat + 0.142901 MaxPower - 0.485828  (Ultimate, ratio = 10.48, Dmg, Magic, AOE, DOT, 1s tick, R2 = 0.99999) <<3>> = 1 second (Constant) <<4>> = Combustion (Constant) <<5>> = 0.0999573 MaxStat + 1.05014 MaxPower - 0.660979  (Ultimate, ratio = 10.51, Dmg, Magic, AOE, Direct, Melee, R2 = 1) <<6>> = 3960 (Constant)"
Necrotic Orb 2,43400,Werewolf,Guild,Undaunted,,6,"Project a globe of annihilation that slowly floats forward for <<1>>, dealing <<2>> every <<3>> to nearby enemies.   An ally near the globe can activate the <<4>> synergy, causing the orb to explode for <<5>> to nearby enemies and restore <<6>> Magicka or Stamina to the ally, whichever maximum is higher.","<<1>> = 10 seconds (Constant) <<2>> = 0.0137488 MaxStat + 0.144447 MaxPower - 0.345921  (Ultimate, ratio = 10.51, Dmg, Magic, AOE, DOT, 1s tick, R2 = 0.99999) <<3>> = 1 second (Constant) <<4>> = Combustion (Constant) <<5>> = 0.0999573 MaxStat + 1.05014 MaxPower - 0.660979  (Ultimate, ratio = 10.51, Dmg, Magic, AOE, Direct, Melee, R2 = 1) <<6>> = 3960 (Constant)"
Necrotic Orb 3,43403,Werewolf,Guild,Undaunted,,6,"Project a globe of annihilation that slowly floats forward for <<1>>, dealing <<2>> every <<3>> to nearby enemies.   An ally near the globe can activate the <<4>> synergy, causing the orb to explode for <<5>> to nearby enemies and restore <<6>> Magicka or Stamina to the ally, whichever maximum is higher.","<<1>> = 10 seconds (Constant) <<2>> = 0.0138908 MaxStat + 0.146254 MaxPower - 0.906451  (Ultimate, ratio = 10.53, Dmg, Magic, AOE, DOT, 1s tick, R2 = 0.999987) <<3>> = 1 second (Constant) <<4>> = Combustion (Constant) <<5>> = 0.0999573 MaxStat + 1.05014 MaxPower - 0.660979  (Ultimate, ratio = 10.51, Dmg, Magic, AOE, Direct, Melee, R2 = 1) <<6>> = 3960 (Constant)"
Necrotic Orb 4,43406,Werewolf,Guild,Undaunted,,6,"Project a globe of annihilation that slowly floats forward for <<1>>, dealing <<2>> every <<3>> to nearby enemies.   An ally near the globe can activate the <<4>> synergy, causing the orb to explode for <<5>> to nearby enemies and restore <<6>> Magicka or Stamina to the ally, whichever maximum is higher.","<<1>> = 10 seconds (Constant) <<2>> = 0.0141191 MaxStat + 0.147404 MaxPower - 0.813592  (Ultimate, ratio = 10.44, Dmg, Magic, AOE, DOT, 1s tick, R2 = 0.999989) <<3>> = 1 second (Constant) <<4>> = Combustion (Constant) <<5>> = 0.0999573 MaxStat + 1.05014 MaxPower - 0.660979  (Ultimate, ratio = 10.51, Dmg, Magic, AOE, Direct, Melee, R2 = 1) <<6>> = 3960 (Constant)"
Necrotic Potency 1,118639,Werewolf,Necromancer,Bone Tyrant,,5,"Sap the lingering life from fresh corpses, granting you <<1>> Ultimate and healing <<2>> Health every <<3>> for <<4>> per corpse consumed. This ability scales off your Max Health.  While slotted, your damage taken is reduced by <<5>>.","<<1>> = 6 (Constant) <<2>> = 0.04132 Health  (Health, RankMod(1), Heal, SingleTarget, DOT, 1s tick, R2 = 1) <<3>> = 1 second (Constant) <<4>> = 2 seconds (Constant) <<5>> = 3% (Constant)"
Necrotic Potency 2,20118639,Werewolf,Necromancer,Bone Tyrant,,5,"Sap the lingering life from fresh corpses, granting you <<1>> Ultimate and healing <<2>> Health every <<3>> for <<4>> per corpse consumed. This ability scales off your Max Health.  While slotted, your damage taken is reduced by <<5>>.","<<1>> = 6 (Constant) <<2>> = 0.04177452 Health  (Health, RankMod(1.011), Heal, SingleTarget, DOT, 1s tick, R2 = 1) <<3>> = 1 second (Constant) <<4>> = 2 seconds (Constant) <<5>> = 3% (Constant)"
Necrotic Potency 3,30118639,Werewolf,Necromancer,Bone Tyrant,,5,"Sap the lingering life from fresh corpses, granting you <<1>> Ultimate and healing <<2>> Health every <<3>> for <<4>> per corpse consumed. This ability scales off your Max Health.  While slotted, your damage taken is reduced by <<5>>.","<<1>> = 6 (Constant) <<2>> = 0.04222904 Health  (Health, RankMod(1.022), Heal, SingleTarget, DOT, 1s tick, R2 = 1) <<3>> = 1 second (Constant) <<4>> = 2 seconds (Constant) <<5>> = 3% (Constant)"
Necrotic Potency 4,40118639,Werewolf,Necromancer,Bone Tyrant,,5,"Sap the lingering life from fresh corpses, granting you <<1>> Ultimate and healing <<2>> Health every <<3>> for <<4>> per corpse consumed. This ability scales off your Max Health.  While slotted, your damage taken is reduced by <<5>>.","<<1>> = 6 (Constant) <<2>> = 0.04268356 Health  (Health, RankMod(1.033), Heal, SingleTarget, DOT, 1s tick, R2 = 1) <<3>> = 1 second (Constant) <<4>> = 2 seconds (Constant) <<5>> = 3% (Constant)"
Necrotic Strikes,220563,Magicka,,,,3,The creeping power of undeath is at your disposal!  Damage dealt by Magic attacks increased by <<1>>.  PART OF THE NECROTIC SET (<<2>>/3 VISIONS) When you acquire 3 unique Necrotic Visions you gain access to the <<3>> Offensive Verse.,<<1>> = 15% (Constant) <<2>> = 0 (Constant) <<3>> = Undead Avatar (Constant)
Necrotic Support,220568,Magicka,,,,5,"Fallen enemies restore your vigor!  Every enemy slain during combat restores <<1>> Health, <<2>> Magicka, and <<3>> Stamina.  PART OF THE NECROTIC SET (<<4>>/3 VISIONS) When you acquire 3 unique Necrotic Visions you gain access to the <<5>> Offensive Verse.","<<1>> = 0.0499481 Health + 0.734516  (Health, Heal, SingleTarget, Direct, R2 = 0.999998) <<2>> = 0.0499191 Magicka - 9.22E-5 SD + 1.04171  (Magicka, SingleTarget, Direct, R2 = 0.999996) <<3>> = 46.9236 MediumArmor + 615.3  (Medium Armor, SingleTarget, Direct, R2 = 0.792746) <<4>> = 0 (Constant) <<5>> = Undead Avatar (Constant)"
Negate Magic,168572,Werewolf,,,,2,,<<1>> = 9 seconds (Constant) <<2>> = 5 seconds (Constant)
Negate Magic,80732,Werewolf,,,,2,,<<1>> = 9 seconds (Constant) <<2>> = 5 seconds (Constant)
Negate Magic,114592,Werewolf,,,,2,,<<1>> = 9 seconds (Constant) <<2>> = 5 seconds (Constant)
Negate Magic,51891,Werewolf,,,,2,,<<1>> = 9 seconds (Constant) <<2>> = 5 seconds (Constant)
Negate Magic,72575,Werewolf,,,,2,,<<1>> = 9 seconds (Constant) <<2>> = 5 seconds (Constant)
Negate Magic,150414,Werewolf,,,,2,,<<1>> = 9 seconds (Constant) <<2>> = 5 seconds (Constant)
Negate Magic,75162,Werewolf,,,,2,,<<1>> = 9 seconds (Constant) <<2>> = 5 seconds (Constant)
Negate Magic 1,27706,Adrenaline,Sorcerer,Dark Magic,,1,"Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.  Enemies within the globe are stunned, while enemy players will be silenced rather than stunned.",<<1>> = 9 seconds (Constant)
Negate Magic 2,29833,Adrenaline,Sorcerer,Dark Magic,,1,"Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.  Enemies within the globe are stunned, while enemy players will be silenced rather than stunned.",<<1>> = 10 seconds (Constant)
Negate Magic 3,29839,Adrenaline,Sorcerer,Dark Magic,,1,"Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.  Enemies within the globe are stunned, while enemy players will be silenced rather than stunned.",<<1>> = 11 seconds (Constant)
Negate Magic 4,29844,Adrenaline,Sorcerer,Dark Magic,,1,"Create a globe of magic suppression for <<1>>, removing and preventing all enemy area of effect abilities from occurring in the area.  Enemies within the globe are stunned, while enemy players will be silenced rather than stunned.",<<1>> = 12 seconds (Constant)
Nerien'eth,59592,Werewolf,,,Nerien'eth,3,"When you deal direct damage, you have a 15% chance to summon a Lich crystal that explodes after <<1>>, dealing <<2>> to all enemies within 4 meters. This effect can occur once every <<3>> and scales off the higher of your Weapon or Spell Damage.","<<1>> = 2 seconds (Constant) <<2>> = -1.47E-5 Magicka + 1.36086 SD - 0.650282  (Magicka, ratio = -92575.51, Dmg, Magic, AOE, Direct, Melee, R2 = 1) <<3>> = 3 seconds (Constant)"
Netch's Touch,85606,Werewolf,,,Netch's Touch,1,Adds <<1>> Weapon and Spell Damage to your Shock Damage abilities.,<<1>> = 0 (Constant)
"New Life Drink: S, Flagon",86790,Werewolf,,,,2,Increase Stamina Recovery by <<1>> for <<2>>. These effects are scaled based on your level.,<<1>> = 525 (Constant) <<2>> = 2 hours (Constant)
"New Life Food: H, Pie",86788,Werewolf,,,,2,Increase Max Health by <<1>> for <<2>>. These effects are scaled based on your level.,<<1>> = 5775 (Constant) <<2>> = 2 hours (Constant)
"New Life Food: M, Soup",86785,Werewolf,,,,2,Increase Max Magicka by <<1>> for <<2>>. These effects are scaled based on your level.,<<1>> = 5250 (Constant) <<2>> = 2 hours (Constant)
"New Life Food: Max M, S",86748,Werewolf,,,,2,Increase Max Magicka and Max Stamina by <<1>> for <<2>>. These effects are scaled based on your level.,<<1>> = 4515 (Constant) <<2>> = 2 hours (Constant)
"New Life Food: S, Sm Bread",86786,Werewolf,,,,2,Increase Max Stamina by <<1>> for <<2>>. These effects are scaled based on your level.,<<1>> = 5250 (Constant) <<2>> = 2 hours (Constant)
New Moon Acolyte,129582,Werewolf,,,New Moon Acolyte,2,Adds <<1>> Weapon and Spell Damage.   Increases the cost of your active abilities by <<2>>.,<<1>> = 0 (Constant) <<2>> = 5% (Constant)
"Newlife Drink: Reg H, M, Belch",86745,Werewolf,,,,3,Increase Magicka Recovery by <<1>> and Health Recovery by <<2>> for <<3>>. This drink is very gassy. These effects are scaled based on your level.,<<1>> = 451 (Constant) <<2>> = 493 (Constant) <<3>> = 2 hours (Constant)
"Newlife Drink: Reg H, Max S, F",86676,Werewolf,,,,3,Increase Max Stamina by <<1>> and Health Recovery by <<2>> for <<3>>. These effects are scaled based on your level.,<<1>> = 4515 (Constant) <<2>> = 493 (Constant) <<3>> = 2 hours (Constant)
"Newlife Drink: Reg MS, Flagon",86558,Werewolf,,,,2,"Increase Magicka and Stamina Recovery by <<1>> for <<2>>. This drink will also grant you insights into what manner of fish spawn in various bodies of water, as well as alertness for nearby fish activity. These effects are scaled based on your level.",<<1>> = 451 (Constant) <<2>> = 2 hours (Constant)
"Newlife Food: Reg S, Max S, So",86669,Werewolf,,,,3,Increase Max Stamina by <<1>> and Stamina Recovery by <<2>> for <<3>>. These effects are scaled based on your level.,<<1>> = 4515 (Constant) <<2>> = 451 (Constant) <<3>> = 2 hours (Constant)
Nibenay Bay Battlereeve,203741,Werewolf,,,,1,Reduces your damage taken from Players by <<1>>.,<<1>> = 3% (Constant)
Nibenay Bay Battlereeve,202769,Magicka,,,Nibenay Bay Battlereeve,4,"When you are forcefully moved via a Pull, Knockback or Teleport ability, gain a damage shield that absorbs up to <<1>> damage for <<2>>. This damage shield is not affected by Battle Spirit. This effect can occur once every <<3>>. While you do not have the damage shield from this set, reduce your damage taken from players by <<4>>.",<<1>> = 15112 (Constant) <<2>> = 6 seconds (Constant) <<3>> = 14 seconds (Constant) <<4>> = 5% (Constant)
Night Mother's Embrace,29107,Werewolf,,,,2,Reduces the radius you can be detected while Sneaking by <<1>>. Reduces the cost of Sneak by <<2>>.,<<1>> = 2 meters (Constant) <<2>> = 25% (Constant)
Night Mother's Embrace,57169,Werewolf,,,,1,Shadow Walker Reduces cost of Sneak by <<1>>%.,<<1>> = 0 (Constant)
Night Mother's Gaze,29113,Werewolf,,,Night Mother's Gaze,2,"When you deal Critical Damage you apply Major Breach to the enemy, reducing their Physical and Spell Resistance by <<1>> for <<2>>.",<<1>> = 5948 (Constant) <<2>> = 4 seconds (Constant)
Night Terror,19165,Werewolf,,,Night Terror,2,Reduces the radius you can be detected while Sneaking by <<1>>. Reduces the cost of Sneak by <<2>>%.,<<1>> = 2 meters (Constant) <<2>> = 0 (Constant)
Night Terror,32836,Werewolf,,,Night Terror,2,"When you take melee damage, you deal <<1>> to the attacker. This effect can occur once every <<2>> and scales off the higher of your Weapon or Spell Damage.","<<1>> = -1.75E-5 Magicka + 0.285972 SD - 0.736715  (Magicka, ratio = -16341.26, Dmg, Poison, SingleTarget, Direct, Melee, R2 = 0.999998) <<2>> = 1 second (Constant)"
Nightflame,59589,Werewolf,,,Nightflame,4,"When you heal yourself or an ally, you have a 20% chance to summon a totem for <<1>> that heals you and your allies within 5 meters for <<2>> Health every <<3>>. This effect can occur once every <<4>> and scales off the higher of your Max Magicka or Stamina.","<<1>> = 6 seconds (Constant) <<2>> = 0.0587317 MaxStat - 2.26E-5 MaxPower - 0.710171  (Ultimate, Heal, AOE, Direct, 1s tick, R2 = 0.999998) <<3>> = 1 second (Constant) <<4>> = 10 seconds (Constant)"
Nightmare,7253,Werewolf,,,,3,,"<<1>> = + 0.175 WD  (Stamina, Dmg, Generic, SingleTarget, DOT, 12s duration, 2s tick, R2 = 1) <<2>> = 12 seconds (Constant) <<3>> = 50 (Constant)"
Nikulas' Heavy Armor,32755,Werewolf,,,Nikulas' Heavy Armor,2,"When you Block, you gain a stack of Nikulas' Resolve for <<1>>, up to once every half second. After 8 stacks you consume Nikulas' Resolve and deflect the next direct damaging attack made against you within <<2>>, avoiding it completely.",<<1>> = 5 seconds (Constant) <<2>> = 5 seconds (Constant)
Nimble Feint 1,256690,Power,Alliance War,Vengeance Scout,,1,Your agile battle-dance would make Rahjin grin with glee. Disorient up to 3 nearby enemies for <<1>> before deftly springing 15 meters away.  Direct damage breaks the disorient early.,<<1>> = 4 seconds (Constant)
Nimble Feint 2,20256690,Power,Alliance War,Vengeance Scout,,1,Your agile battle-dance would make Rahjin grin with glee. Disorient up to 3 nearby enemies for <<1>> before deftly springing 15 meters away.  Direct damage breaks the disorient early.,<<1>> = 4 seconds (Constant)
Nimble Feint 3,30256690,Power,Alliance War,Vengeance Scout,,1,Your agile battle-dance would make Rahjin grin with glee. Disorient up to 3 nearby enemies for <<1>> before deftly springing 15 meters away.  Direct damage breaks the disorient early.,<<1>> = 4 seconds (Constant)
Nimble Feint 4,40256690,Power,Alliance War,Vengeance Scout,,1,Your agile battle-dance would make Rahjin grin with glee. Disorient up to 3 nearby enemies for <<1>> before deftly springing 15 meters away.  Direct damage breaks the disorient early.,<<1>> = 4 seconds (Constant)
Nirnhoned,59312,Werewolf,,,,1,Increase Spell Resistance by <<1>>,<<1>> = 0 (Constant)
Nirnhoned,58781,Werewolf,,,,1,Increase Spell Resistance by <<1>>,<<1>> = 0 (Constant)
Nix-Hound's Howl,187897,Magicka,,,Nix-Hound's Howl,5,"Completing a fully-charged Heavy Attack applies Major Cowardice to your target for 1 second per 1000 Weapon Damage you have, lowering their Weapon and Spell Damage by <<1>>. You then gain Major Courage for the same duration, increasing your Weapon and Spell Damage by <<2>>. This effect can occur once every <<3>>.  Current Durations Major Cowardice: <<4>> Major Courage: <<5>>","<<1>> = 430 (Constant) <<2>> = 430 (Constant) <<3>> = 12 seconds (Constant) <<4>> = 7.6E-6 MaxStat + 0.0009812 MaxPower - 0.0748478  (Ultimate, ratio = 129.11, SingleTarget, Direct, R2 = 0.999449) <<5>> = 7.6E-6 MaxStat + 0.0009812 MaxPower - 0.0748478  (Ultimate, ratio = 129.11, SingleTarget, Direct, R2 = 0.999449)"
Nobility in Decay,210811,Magicka,,,Nobility in Decay,6,"Casting a Bone Tyrant ability while in combat grants you <<1>> and <<2>> for <<3>>. <<2>> increases your healing received and reduces damage taken by up to <<4>> based on your missing Health. This can occur once every <<5>>, and is reduced by <<6>> for each slotted Bone Tyrant ability.  Casting a corpse consumer ability consumes <<1>>, treating you as a corpse.",<<1>> = Beautiful Corpse (Constant) <<2>> = Death's Favor (Constant) <<3>> = 16 seconds. Death' (Constant) <<4>> = 12% (Constant) <<5>> = 20 seconds (Constant) <<6>> = 2 seconds (Constant)
Noble Duelist's Silks,29100,Werewolf,,,Noble Duelist's Silks,3,"When you deal damage with a Light or Heavy Attack in melee range, you increase the damage of your Light and Heavy Attacks against monsters by <<1>> for <<2>>. This effect can occur once every <<3>>.",<<1>> = 0 (Constant) <<2>> = 15 seconds (Constant) <<3>> = 12 seconds (Constant)
Noble's Conquest,61780,Werewolf,,,Noble's Conquest,5,"When you Bash a target, you heal for <<1>> Health over <<2>> and apply Minor Vulnerability to the enemy for <<3>>, increasing their damage taken by <<4>>. The heal can only activate once every <<5>> and scales off your Max Health.","<<1>> = 0.212902 Health + 1.23101  (Health, Heal, SingleTarget, DOT, 10s duration, 2s tick, R2 = 0.999994) <<2>> = 10 seconds (Constant) <<3>> = 10 seconds (Constant) <<4>> = 5% (Constant) <<5>> = 10 seconds (Constant)"
Nocturnal Hunter,18246,Werewolf,,,,2,,<<1>> = 10% (Constant) <<2>> = 10% (Constant)
