page,bonus_1,bonus_2,bonus_3,bonus_4,bonus_5,bonus_6,bonus_7,bonus_8,bonus_9,bonus_10,bonus_11,bonus_12,Trail.1,Online Update.type,ESO Sets With.1,ESO Sets With.3,ESO Sets With.2,ESO Sets With.4,ESO Sets With.5,ESO Sets With.settype,ESO Sets With.6,ESO Sets With.source,ESO Sets With.7,ESO Sets With.8,ESO Sets With.9,ESO Sets With.10,ESO Sets With.11,Mod Header.1,ESO Sets With.dlc,ESO Sets With.12,ESO Weapon Damage Link.3,ESO Health Link.1,ESO Sets With.13,ESO Stamina Link.1,ESO Magicka Link.1,Item Link.quality,ESO Sets With.14,Item Link.id,Item Link.summary,Item Link.1,about.1,about.2,about.3,ESO Magicka Link.2,ESO Stamina Link.2,ESO Sets With.15,Place Link.1,ESO Sets With.dungeon,ESO Sets With.chest,ESO Sets With.boss,Item Link.2,icon.1,icon.2,ESO Quality Color.1,ESO Quality Color.2,ESO Ultimate Link.1,icon.al
Online:Perfected Disciplined Slash,,"When you deal damage with Reverse Slash, you generate up to 12 Ultimate based on how much execute bonus damage it dealt.",,,,,,,,,,,Sets,itemset,Maximum Stamina,Execute Bonus,Skill Bonus,Ultimate Gain,2-Piece Bonus,Weapon,Two Handed Weapon,Asylum Sanctorium,Asylum Style,,,,,Clockwork City,Clockwork City,,,,,20-877 Maximum,,,,,,,,,,,,,,,,,,,,,,12,
Online:Perfected Dolorous Arena,,Adds 28-1206 Maximum Health,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 34-1487 Armor 5 perfected items: Adds 25-1096 Maximum Stamina,"While bracing you create a distortion barrier around yourself after 2 seconds. After the delay, every 2 seconds you gain 14-614 Armor and enemies within the distortion barrier have their Armor reduced by 42-1843 for 5 seconds. These effects stack up to 3 times.",,,,,,,,Sets,itemset,Maximum Health,Minor Aegis,Maximum Stamina,Physical/Spell Resistance,Double Physical/Spell Resistance,Heavy Armor,Block Bonus,Ossein Cage,Area of Effect,Reduce Enemy Defense,5-Piece Bonus,Heavy Armor,Any Weapon,2025 Content Pass,Seasons of the Worm Cult,Jewelry,,28-1206 Maximum,Coldharbour Dominator Style,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Executioner's Blade,,Hidden Blade deals up to 250% more damage to targets under 100% Health when you are standing behind them. Restores 1890 Stamina if the target was below 50% Health.,,,,,,,,,,,Sets,itemset,Weapon/Spell Critical,Increase Damage Dealt,Skill Bonus,Execute,Positioning Bonus,Weapon,Execute Bonus,Vateshran Hollows,Restore Stamina,2-Piece Bonus,One Handed Weapon,Ancestral Reach Style,,Markarth,Markarth,,,100%,,1890,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Eye of Nahviintaas,,Adds 3-129 Magicka Recovery,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 25-1096 Maximum Magicka 5 perfected items: Adds 25-1096 Maximum Magicka,"When an ally activates a synergy you have created within 10 seconds, you and the ally who activated the synergy get 12% cost reduction for non-Ultimate abilities for 3 seconds. This effect can occur every 6 seconds per target.",,,,,,,,Sets,itemset,Magicka Recovery,Maximum Magicka,Minor Aegis,Double Maximum Magicka,Synergy Bonus,Light Armor,Skill Bonus,Sunspire,Reduce Magicka Cost,Reduce Stamina Cost,Reduce Health Cost,5-Piece Bonus,Light Armor,Elsweyr,Elsweyr,Any Weapon,,,Jewelry,,3-129,,Sunspire Style,,,,,,,Recovery,,,,,,,,,,,,,
Online:Perfected False God's Devotion,,Adds 15-657 Critical Chance,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 15-657 Critical Chance 5 perfected items: Adds 3-129 Weapon Damage and Spell Damage,"Reduces the cost of your Magicka abilities by 8%. When an enemy you recently damaged dies, you restore 57-2454 Magicka and gain Major Expedition for 8 seconds, increasing your Movement Speed by 30%. These effects can occur once every second.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Minor Slayer,Weapon/Spell Damage,Weapon/Spell Damage,Light Armor,Reduce Magicka Cost,Sunspire,Kill Bonus,Restore Magicka,Major Expedition,5-Piece Bonus,Light Armor,Elsweyr,Elsweyr,Any Weapon,y,,Jewelry,,57-2454,,Sunspire Style,,,,,,,,,,,,,,,,,,,,
Online:Perfected Force Overflow,,"Casting Force Siphon on a target within 15 meters of you causes a surge of magical energy to tether between you for 10 seconds. While the tether persists and you remain in range, you and allies in the tether restore 4-175 Magicka and Stamina every 1 second. This effect can occur once every 10 seconds.",,,,,,,,,,,Sets,itemset,Maximum Magicka,Distance Bonus,Skill Bonus,Tether,Area of Effect,Weapon,Restore Stamina,Vateshran Hollows,Restore Magicka,2-Piece Bonus,Restoration Staff,Ancestral Reach Style,,Markarth,Markarth,,,,,,20-877 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Frenzied Momentum,,"While Momentum is active, casting Stamina abilities while in combat generates a stack of Frenzied Momentum for 20 seconds, increasing your Weapon Damage and Spell Damage by 0-30 up to 10 times. After 5 or more stacks, your next Heavy Attack consumes all stacks and releases a violent explosion of energy around you, dealing 1084 Physical Damage to all enemies within 8 meters, scaling off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Maximum Stamina,Weapon/Spell Damage,Skill Bonus,Heavy Attack Bonus,Physical Damage,Weapon,Area of Effect,Vateshran Hollows,2-Piece Bonus,Two Handed Weapon,Ancestral Reach Style,,,Markarth,Markarth,,y,,,20-877 Maximum,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Gallant Charge,,Reduces the cost of Shield Charge by 25% and reduces the cost of your next non-Shield Charge One Handed and Shield ability cast within 3 seconds by 100%.,,,,,,,,,,,Sets,itemset,Physical/Spell Resistance,Reduce Stamina Cost,Skill Bonus,2-Piece Bonus,One Handed Weapon,Weapon,Shield,Blackrose Prison,Honor Guard Style,,,,,Murkmire,Murkmire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Grand Rejuvenation,,"The initial heal of Grand Healing invigorates you and group members affected for 6 seconds, restoring 5-224 Magicka and Stamina every 2 seconds.",,,,,,,,,,,Sets,itemset,Maximum Magicka,Group Bonus,Skill Bonus,Restore Stamina,Restore Magicka,Weapon,2-Piece Bonus,Dragonstar Arena,Restoration Staff,Breton Style,,,,,,,,,,,20-877 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Harmony in Chaos,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage,"While in combat, activating a synergy increases your Weapon Damage and Spell Damage by 88 for 15 seconds, stacking up to 5 times.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Weapon/Spell Damage,Triple Weapon/Spell Damage,Quadruple Weapon/Spell Damage,Light Armor,Minor Slayer,Ossein Cage,Synergy Bonus,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,2025 Content Pass,Seasons of the Worm Cult,Coldharbour Dominator Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Kazpian's Cruel Signet,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 34-1487 Offensive Penetration 5 perfected items: Adds 3-129 Weapon Damage and Spell Damage,"On dealing area direct damage, place a Sword above an enemy, up to once every 1 second. You cannot place a Sword on an enemy who already has one from you. After 6 seconds, the Sword falls, dealing 772 Physical Damage. This damage scales off the higher of your Weapon Damage and Spell Damage. Applying a Sword increases your damage done by 2% for 6 seconds, stacking up to 6 times.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Minor Slayer,Double Weapon/Spell Damage,Physical/Spell Penetration,Area of Effect,Medium Armor,Direct Damage Bonus,Ossein Cage,Area of Effect Bonus,Physical Damage,5-Piece Bonus,Medium Armor,Any Weapon,2025 Content Pass,Seasons of the Worm Cult,Jewelry,y,,Coldharbour Dominator Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Kyne's Wind,,Adds 3-129 Magicka Recovery,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 4% Healing Done 5 perfected items: Adds 3-129 Magicka Recovery,"When you overheal yourself or a group member, you create a pool of Kyne's Blessing under the target for 4 seconds. You and group members standing in Kyne's Blessing restore 9-420 Stamina and Magicka every 1 second. This effect can occur once every 10 seconds.",,,,,,,,Sets,itemset,Magicka Recovery,Increase Healing Done,Minor Aegis,Double Magicka Recovery,Skill Bonus,Light Armor,Buff Bonus,Kyne's Aegis,Group Bonus,Area of Effect,Restore Stamina,Restore Magicka,5-Piece Bonus,Greymoor,Greymoor,Light Armor,,,Any Weapon,9-420,3-129,,Jewelry,,,,,,,Recovery,,Sea Giant Style,,,,,,,,,,,
Online:Perfected Lucent Echoes,,Adds 4% Healing Taken,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 28-1206 Maximum Health 5 perfected items: Adds 28-1206 Maximum Health,"While you have more than 50% Health, the Critical Damage and Critical Healing of any group members not wearing Lucent Echoes within 28 meters of you increases by 11%. While you have 50% or less Health, your damage taken from monsters is reduced by 20%.",,,,,,,,Sets,itemset,Increase Healing Received,Maximum Health,Minor Aegis,Double Maximum Health,Full Health Bonus,Heavy Armor,Group Bonus,Lucent Citadel,Full Group Bonus,Increase Critical Damage,Increase Critical Healing,Near Death Effect,Reduce Damage Taken,Gold Road,Gold Road,5-Piece Bonus,,28-1206 Maximum,Heavy Armor,,,,Any Weapon,,,,,,,,,Jewelry,,,,,,,,,,,
Online:Perfected Mantle of Siroria,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage,"Dealing damage with a Light or Heavy Attack creates a ring of fire beneath you for 8 seconds. This effect can occur once every 8 seconds. Every second spent standing in the ring increases your Weapon Damage and Spell Damage by 1-44 for 5 seconds, stacking up to 10 times.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Minor Slayer,Triple Weapon/Spell Damage,Triple Weapon/Spell Damage,Light Armor,Light Attack Bonus,Cloudrest,Heavy Attack Bonus,Area of Effect,Quadruple Weapon/Spell Damage,5-Piece Bonus,Light Armor,Summerset,Summerset,Any Weapon,y,,Jewelry,,,,Welkynar Style,,,,,,,,,,,,,,,,,,,,
Online:Perfected Mender's Ward,,"Steadfast Ward applies Major Vitality to your target for 4 seconds, increasing their healing received and damage shield strength by 12%.",,,,,,,,,,,Sets,itemset,Magicka Recovery,Major Vitality,Skill Bonus,2-Piece Bonus,Restoration Staff,Weapon,Honor Guard Style,Blackrose Prison,,,,,,Murkmire,Murkmire,,,,,,2-103,,,,,,,,,Recovery,,,,,,,,,,,,,
Online:Perfected Merciless Charge,,"Activating Critical Charge stirs up a barbarous lust for battle within you for 18 seconds, increasing your damage done with direct damage attacks by 1%, up to a maximum of 12%. This effect scales off the higher of your Weapon Damage and Spell Damage.",,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Increase Damage Dealt,Skill Bonus,2-Piece Bonus,Two Handed Weapon,Weapon,Dwemer Style,Maelstrom Arena (place),,,,,,Orsinium,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Mora Scribe's Thesis,,Adds 15-657 Critical Chance,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage 5 perfected items: Adds 15-657 Critical Chance,"Increase your Critical Chance by 128 for every Major Buff active on you, up to 1536 Critical Chance. Increase your Critical Damage done by 1% for every Minor Buff active on you, up to 12% Critical Damage done. Current Bonus: 0 Critical Chance and 0% Critical Damage",,,,,,,,Sets,itemset,Weapon/Spell Critical,Maximum Magicka,Minor Slayer,Double Weapon/Spell Critical,Buff Bonus,Light Armor,Triple Weapon/Spell Critical,Lucent Citadel,Increase Critical Damage,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Gold Road,Gold Road,Lucent Sentinel Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Peace and Serenity,,Adds 15-657 Critical Chance,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage 5 perfected items: Adds 3-129 Weapon Damage and Spell Damage,"While you are standing still, you gain 10-465 Weapon Damage and Spell Damage. While you are moving, you gain 4-203 Health, Magicka, and Stamina Recovery.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Weapon/Spell Damage,Minor Slayer,Double Weapon/Spell Damage,Double Weapon/Spell Damage,Light Armor,Standing Still Bonus,Sanity's Edge,Triple Weapon/Spell Damage,Health Recovery,Magicka Recovery,Stamina Recovery,5-Piece Bonus,Necrom,Necrom,Light Armor,y,,Any Weapon,,,,Jewelry,,,,,,,,Recovery,Clan Dreamcarver Style,,,,,,,,,,,
Online:Perfected Pearlescent Ward,,Adds 28-1206 Maximum Health,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 4% Healing Taken 5 perfected items: Adds 28-1206 Maximum Health,Grants you and up to 11 other group members Pearlescent Ward. This bonus persists through death. Pearlescent Ward increases Weapon Damage and Spell Damage by up to 4-180 based on the number of group members that are alive. Current 4-180 Weapon Damage and Spell Damage. Pearlescent Ward increases damage reduction from non-player enemies out of 66% based on the number of group members that are dead. Current 0% damage reduction.,,,,,,,,Sets,itemset,Maximum Health,Minor Aegis,Double Maximum Health,Increase Healing Received,Group Bonus,Heavy Armor,Full Group Bonus,Dreadsail Reef,Weapon/Spell Damage,Reduce Damage Taken,5-Piece Bonus,Heavy Armor,Any Weapon,High Isle,High Isle,Jewelry,y,28-1206 Maximum,Syrabanic Marine Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Piercing Spray,,"When you deal damage with Arrow Spray, you cause enemies hit to have 153-6600 less Armor against Bow attacks for 10 seconds.",,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Reduce Enemy Defense,Skill Bonus,Negative Effect Bonus,Bow Bonus,Weapon,2-Piece Bonus,Asylum Sanctorium,Bow,Asylum Style,,,,Clockwork City,Clockwork City,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Pillager's Profit,,Adds 4% Healing Done,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 25-1096 Maximum Magicka 5 perfected items: Adds 3-129 Magicka Recovery,Casting an Ultimate ability while in combat grants 2% of Ultimate spent as Ultimate to up to 11 other group members within 12 meters every 2 seconds over 10 seconds. Group members can only be affected by this set once every 45 seconds.,,,,,,,,Sets,itemset,Increase Healing Done,Maximum Magicka,Minor Aegis,Magicka Recovery,Ultimate Bonus,Light Armor,Group Bonus,Dreadsail Reef,Full Group Bonus,Distance Bonus,Ultimate Gain,5-Piece Bonus,Light Armor,High Isle,High Isle,Any Weapon,,,Jewelry,,25-1096 Maximum,,Syrabanic Marine Style,,,,,,,Recovery,,,,,,,,,,,,,
Online:Perfected Point-Blank Snipe,,Increases your damage done with Snipe based on how close you are to your target. Max Damage: 33% at 3 meters. Minimum Damage: 5% at 18.5 meters.,,,,,,,,,,,Sets,itemset,Weapon/Spell Damage,Bow Bonus,Skill Bonus,Distance Bonus,2-Piece Bonus,Weapon,Bow,Vateshran Hollows,Ancestral Reach Style,,,,,Markarth,Markarth,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Precise Regeneration,,"When your Regeneration critically strikes, you restore 12-558 Magicka. This effect cannot occur from simultaneous critical strikes.",,,,,,,,,,,Sets,itemset,Weapon/Spell Critical,Critical Healing Bonus,Skill Bonus,Restore Magicka,2-Piece Bonus,Weapon,Restoration Staff,Maelstrom Arena (place),Dwemer Style,,,,,Orsinium,,,,,,,12-558,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Puncturing Remedy,,"When you deal damage with Puncture, you heal for 2230 Health and gain Spell Resistance and Physical Resistance equal to the amount of healing or over healing done for 5 seconds. The healing scales off your Max Health.",,,,,,,,,,,Sets,itemset,Increase Healing Received,Restore Health,Skill Bonus,Physical/Spell Resistance,Reduce Damage Taken,Weapon,2-Piece Bonus,Dragonstar Arena,One Handed Weapon,Shield,Khajiit Style,Argonian Style,Dark Elf Style,,,Nord Style,,2230,Mixed Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Radial Uppercut,,Uppercut deals 45% of its damage to all enemies near your primary target.,,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Area of Effect,Skill Bonus,2-Piece Bonus,Two Handed Weapon,Weapon,Honor Guard Style,Blackrose Prison,,,,,,Murkmire,Murkmire,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Rampaging Slash,,"When you deal damage with Low Slash, your next fully-charged Heavy Attack used within 5 seconds restores 44-1904 Magicka and Stamina.",,,,,,,,,,,Sets,itemset,Magicka Recovery,Skill Bonus,Stamina Recovery,Heavy Attack Bonus,Restore Magicka,Weapon,Restore Stamina,Maelstrom Arena (place),2-Piece Bonus,One Handed Weapon,Shield,Dwemer Style,,Orsinium,,,,,,1-77,1-77,,,,,,,,,Recovery,Recovery,,,,,,,,,,,,
Online:Perfected Recovery Convergence,,Adds 4% Healing Done,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 25-1096 Maximum Magicka 5 perfected items: Adds 4% Healing Done,"While in combat, overhealing done is converted into stored energy on you for 20 seconds. After overhealing 100000 Health, your energy maxes out, granting you the Convergence Release synergy. When you activate this synergy, restore 160-6886 Stamina and Magicka to yourself and group members within 28 meters of you.",,,,,,,,Sets,itemset,Maximum Magicka,Increase Healing Done,Minor Aegis,Double Increase Healing Done,Healing Bonus,Light Armor,Synergy Bonus,Ossein Cage,Distance Bonus,Group Bonus,Restore Magicka,Restore Stamina,5-Piece Bonus,2025 Content Pass,Seasons of the Worm Cult,Light Armor,,100000,Any Weapon,160-6886,25-1096 Maximum,,Jewelry,,,,,,,,,Coldharbour Dominator Style,,,,,,,,,,,
Online:Perfected Roaring Opportunist,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage 5 perfected items: Adds 25-1096 Maximum Magicka,"After completing a fully-charged Heavy Attack, you and up to 5 group members gain Major Slayer, increasing your damage done to Dungeon, Trial, and Arena Monsters by 10% for 1 second for every 600 Spell Damage or 6300 Magicka you have. Roaring Opportunist can only affect a target every 22 seconds. Maximum duration 12 seconds.",,,,,,,,Sets,itemset,Physical/Spell Penetration,Weapon/Spell Damage,Minor Slayer,Maximum Magicka,Heavy Attack Bonus,Light Armor,Group Bonus,Kyne's Aegis,Major Slayer,5-Piece Bonus,Light Armor,Any Weapon,Jewelry,Greymoor,Greymoor,Sea Giant Style,y,,,,25-1096 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Saxhleel Champion,,Adds 25-1096 Maximum Magicka,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 25-1096 Maximum Stamina 5 perfected items: Adds 25-1096 Maximum Stamina,"When you use an Ultimate ability while in combat, you and up to 11 group members within 28 meters of you gain Major Force for 1 second per 15 Ultimate spent, increasing your Critical Damage done by 20%.",,,,,,,,Sets,itemset,Maximum Magicka,Maximum Stamina,Minor Aegis,Double Maximum Stamina,Ultimate Bonus,Heavy Armor,Group Bonus,Rockgrove,Full Group Bonus,Distance Bonus,Major Force,5-Piece Bonus,Heavy Armor,Blackwood,Blackwood,Any Weapon,,,Jewelry,25-1096 Maximum,25-1096 Maximum,,Sul-Xan Style,,,,,,,,,,,,,,,,,,,15,
Online:Perfected Slivers of the Null Arca,,Adds 15-657 Critical Chance,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 15-657 Critical Chance 5 perfected items: Adds 3-129 Weapon Damage and Spell Damage,"Dealing Critical Damage gives you a stack of Sliver for 10 seconds, up to once every 0.5 seconds. Upon gaining your third stack, they merge into a crystal that launches at the last enemy you damaged, dealing 1952 Physical Damage. This effect scales off the higher of your Weapon Damage and Spell Damage, and you cannot gain Sliver for 4 seconds after the crystal is launched.",,,,,,,,Sets,itemset,Weapon/Spell Critical,Double Weapon/Spell Critical,Minor Slayer,Weapon/Spell Damage,Weapon/Spell Damage,Medium Armor,Critical Damage Bonus,Lucent Citadel,Physical Damage,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Gold Road,Gold Road,Lucent Sentinel Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Spectral Cloak,,"Activating Blade Cloak while in combat allows you to gain Spectral Cloak whenever Blade Cloak deals damage for 2 seconds, reducing your damage taken and increasing your damage done by 6%.",,,,,,,,,,,Sets,itemset,Stamina Recovery,Reduce Damage Taken,Skill Bonus,Increase Damage Dealt,2-Piece Bonus,Weapon,One Handed Weapon,Blackrose Prison,Honor Guard Style,,,,,Murkmire,Murkmire,,,,,2-103,,,,,,,,,,,Recovery,,,,,,,,,,,,
Online:Perfected Stinging Slashes,,Twin Slashes deals 209 more damage for each hit of the initial attack and bleed. This effect scales off the higher of your Weapon Damage and Spell Damage.,,,,,,,,,,,Sets,itemset,Weapon/Spell Critical,2-Piece Bonus,Skill Bonus,One Handed Weapon,Khajiit Style,Weapon,Argonian Style,Dragonstar Arena,Nord Style,Mixed Style,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Stone-Talker's Oath,,Adds 3-129 Magicka Recovery,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Magicka Recovery 5 perfected items: Adds 25-1096 Maximum Magicka,"Your fully-charged Heavy Attacks place a soul bomb on your target that charges as the target takes damage. After 10 seconds, the bomb explodes, restoring 5% of the damage received as Stamina and Magicka, up to 2240 Stamina and Magicka, to 12 group members within 16 meters of the explosion. This effect can occur every 10 seconds.",,,,,,,,Sets,itemset,Magicka Recovery,Double Magicka Recovery,Minor Aegis,Maximum Magicka,Heavy Attack Bonus,Light Armor,Group Bonus,Rockgrove,Full Group Bonus,Area of Effect,Restore Stamina,Restore Magicka,5-Piece Bonus,Blackwood,Blackwood,Light Armor,,,Any Weapon,2240,3-129,,Jewelry,,,,,,,Recovery,,Sul-Xan Style,,,,,,,,,,,
Online:Perfected Sul-Xan's Torment,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 15-657 Critical Chance 5 perfected items: Adds 15-657 Critical Chance,"When an enemy you recently damaged dies, they leave behind a vengeful soul for 6 seconds. You can only create one vengeful soul at a time. Touching the soul increases your Critical Chance by 50-2160 and your Critical Damage by 12% for 30 seconds.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Weapon/Spell Critical,Minor Slayer,Double Weapon/Spell Critical,Double Weapon/Spell Critical,Medium Armor,Kill Bonus,Rockgrove,Triple Weapon/Spell Critical,Increase Critical Damage,5-Piece Bonus,Medium Armor,Any Weapon,Blackwood,Blackwood,Jewelry,y,,Sul-Xan Style,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Test of Resolve,,Adds 34-1487 Armor,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 28-1206 Maximum Health 5 perfected items: Adds 34-1487 Armor,"When you take damage while under 50% Health, your resolve is tested. If you are also below 50% Stamina, you restore full Health, Magicka, and Stamina while also gaining Major Protection and Major Aegis for 10 seconds. If you are above 50% Stamina you become a Beacon of Hope for 20 seconds, causing your Major and Minor buffs to also grant Major Aegis for 10 seconds. This effect can occur once every 45 seconds.",,,,,,,,Sets,itemset,Physical/Spell Resistance,Maximum Health,Minor Aegis,Double Physical/Spell Resistance,Near Death Effect,Heavy Armor,Low Stamina Bonus,Sanity's Edge,Restore Health,Restore Magicka,Restore Stamina,Major Protection,Major Aegis,Necrom,Necrom,Buff Bonus,,28-1206 Maximum,5-Piece Bonus,50%,,,Heavy Armor,,,,,,,,,Any Weapon,,,,,,,,,,,
Online:Perfected Thunderous Volley,,"Increases the damage Volley deals by 10-430 each tick. This bonus increases by 4-191 every time Volley ticks, up to a maximum of 8 times.",,,,,,,,,,,Sets,itemset,Weapon/Spell Critical,Bow Bonus,Skill Bonus,2-Piece Bonus,Bow,Weapon,Dwemer Style,Maelstrom Arena (place),,,,,,Orsinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Timeless Blessing,,"When you cast Blessing of Protection, the cost of your Magicka and Stamina healing abilities are reduced by 21% for 3 seconds.",,,,,,,,,,,Sets,itemset,Maximum Magicka,Reduce Magicka Cost,Skill Bonus,Reduce Stamina Cost,2-Piece Bonus,Weapon,Restoration Staff,Asylum Sanctorium,Asylum Style,,,,,Clockwork City,Clockwork City,,,,,,20-877 Maximum,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Titanic Cleave,,Increases the direct damage Cleave deals by 36-1550 for each enemy in its cone.,,,,,,,,,,,Sets,itemset,Physical/Spell Penetration,Multiple Targets Hit Bonus,Skill Bonus,2-Piece Bonus,Two Handed Weapon,Weapon,Dark Elf Style,Dragonstar Arena,Orcish Style,Redguard Style,Mixed Style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Tooth of Lokkestiiz,,Adds 3-129 Weapon Damage and Spell Damage,"Gain Minor Slayer at all times, increasing your damage done to Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Weapon Damage and Spell Damage 5 perfected items: Adds 15-657 Critical Chance,"When you activate a synergy while in combat, gain Major Slayer for 16 seconds, increasing your damage done to Dungeon and Trial monsters by 10%.",,,,,,,,Sets,itemset,Weapon/Spell Damage,Double Weapon/Spell Damage,Minor Slayer,Weapon/Spell Critical,Weapon/Spell Critical,Medium Armor,Synergy Bonus,Sunspire,Major Slayer,5-Piece Bonus,Medium Armor,Any Weapon,Jewelry,Elsweyr,Elsweyr,Sunspire Style,y,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Perfected Transformative Hope,,Adds 4% Healing Done,"Gain Minor Aegis at all times, reducing your damage taken from Dungeon, Trial, and Arena Monsters by 5%.",Adds 3-129 Magicka Recovery 5 perfected items: Adds 4% Healing Done,"While in combat, when you heal yourself or an ally that is below 50% Health, you ignite a Spark of Hope within them for 3 seconds. If they are above 90% Health when the effect ends, you and the ally gain Major Heroism for 15 seconds. This effect can occur once every 20 seconds per target.",,,,,,,,Sets,itemset,Increase Healing Done,Magicka Recovery,Minor Aegis,Double Increase Healing Done,Healing Bonus,Light Armor,Near Death Effect,Sanity's Edge,Full Health Bonus,Major Heroism,5-Piece Bonus,Light Armor,Any Weapon,Necrom,Necrom,Jewelry,,50%,Clan Dreamcarver Style,,3-129,,,,,,,,,Recovery,,,,,,,,,,,,,
