page,Online Skill Summary.line,Online Skill Summary.desc,Online Skill Summary.icon,Online Skill Summary.id,ESO Patch Note.1,ESO Patch Note.2,ESO Skills With.1,Online Skill Summary.type,ESO Skills With.2,Online Skill Summary.desc2,ESO Skills With.3,Online Skill Summary.linerank1,Online Skill Summary.linerank,Online Skill Summary.cost,Online Skill Summary.target,Online Skill Summary.casttime,ESO Skills With.4,Online Skill Summary.linerank2,Online Skill Summary.image,Online Skill Summary.imgdesc,Online Skill Summary.id1,Online Skill Summary.id2,Online Skill Summary.desc1,Online Skill Summary.morph1name,Online Skill Summary.morph1id,Online Skill Summary.morph1desc,Online Skill Summary.morph2name,Online Skill Summary.morph2id,Online Skill Summary.morph2icon,Online Skill Summary.morph2desc,Online Skill Summary.morph1icon,ESO Skills With.5,Mod Header.1,Online Skill Summary.duration,ESO Skills With.6,Online Skill Summary.attrib,Online Skill Summary.range,ESO Skills With.7,Online Skill Summary.radius,ESO Companion Skills With.1,ESO Companion Skills With.2,ESO Skills With.8,Online Skill Summary.desc3,Online Skill Summary.linerank3,Online Skill Summary.id3,ESO Skills With.9,ESO Companion Skills With.3,ESO Health Link.1,Online Skill Summary.area
Online:Green-Keeper's Hide,Class Mastery,"The twisting of seasons has tempered your will. Reduce your damage taken by 3% for every status effect active on your attacker, up to a maximum of 15%.",Animal Companions-Flourish,263522,12.0.0,"*Green-Keeper's Hide: This passive reduces your damage taken by 3% for every status effect on your attacker, up to a maximum of 15%.",,Passive,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Grim Focus,Assassination,"When slotted on either bar, you gain Major Prophecy and Major Savagery, increasing your Spell Critical and Weapon Critical rating by 2629. Your Light and Heavy Attacks now generate a stack of Grim Focus, up to 10 times. Fully-charged Heavy Attacks grant two stacks. When at 5 or more stacks, you can consume 5 to fire a spectral arrow to deal [11070 / 11191 / 11313 / 11435] Magic Damage and heal for 33% of the damage dealt, if you are in melee range.",Assassination-Grim Focus,62096,1.6.5,"* Haste: This ability has been removed, and replaced by the new ability Grim Focus. * Grim Focus: This ability has replaced Haste in the Assassination tree. Any experience gained in Haste will now apply to Grim Focus. ** When Grim Focus is activated, all weapon attacks will do additional damage for 20 seconds. Using light attacks or heavy attacks while the effect is active will grant a charge. When you gain eight charges, Grim Focus changes to Assassin's Will. *Assassin's Will: This ability allows you to fire a spectral projectile at your target, dealing magic damage.",Slotted Effect,,Spell Critical,"When slotted on either bar, you gain Major Prophecy and Major Savagery, increasing your Spell Critical and Weapon Critical rating by 2629. Your Light and Heavy Attacks now generate a stack of Merciless Resolve, up to 10 times. Fully-charged Heavy Attacks grant two stacks. When at 5 or more stacks, you can consume 5 to fire a spectral arrow to deal [12578 / 12716 / 12854 / 12993] Magic Damage and heal for 50% of the damage dealt, if you are in melee range.",Weapon Critical,,42,1890 Magicka,Enemy,Instant,Light Attack Bonus,,ON-skill-Assassin's Will.jpg,The spectral bow of Assassin's Will,,,"Cost: [1377 / 1287 / 1197 / 1107] Stamina. When slotted on either bar, you gain Major Prophecy and Major Savagery, increasing your Spell Critical and Weapon Critical rating by 2629. Your Light and Heavy Attacks now generate a stack of Relentless Focus, up to 10 times. Fully-charged Heavy Attacks grant two stacks. When at 4 or more stacks, you can consume 4 to fire a spectral arrow to deal 11435 Disease Damage and heal for 33% of the damage dealt, if you are in melee range.",Relentless Focus,62107,Converts into a Stamina ability and deals Disease Damage. Reduces the cost and the amount of stacks needed.,Merciless Resolve,62117,Assassination-Merciless Resolve,Increases the damage and healing of the spectral arrow.,Assassination-Relentless Focus,Heavy Attack Bonus,,,Magic Damage,Magicka,28 meters,Distance Bonus,,,,Heal Self,,,,Leech Health,,,
Online:Guard (skill),Support,"Cost: [3672 / 3582 / 3492 / 3402] Stamina. Create a lifebond between you and an allied player. While bonded, 30% of the damage they take is instead redistributed to you. The bond will remain until you recast the spell or move more than 15 meters away from your ally.",Support-Guard,63318,1.6.5,"* Guard (new ability) ** This new ability will intercept all projectiles that are targeted at allies near you, and when toggled, will also drain your target's stamina while active. ** Mystic Guard: Your allies gain the Minor Vitality buff. ** Stalwart Guard: Using this ability will slow your stamina drain.",Reduce Damage Taken,,Increase Healing Received,"Cost: [3402 / 3312 / 3222 / 3132] Stamina. Create a lifebond between you and an allied player. While bonded, 30% of the damage they take is instead redistributed to you. You and your bonded ally also gain Minor Force, increasing your Critical Damage by 10%. The bond will remain until you recast the spell or move more than 15 meters away from your ally.",Increase Critical Damage,,5,3402 Stamina,,Instant,Stamina Cost,,ON-skill-Guard_(Skill).jpg,Guard being used on Bastian Hallix,,,"Cost: [3402 / 3312 / 3222 / 3132] Stamina. Create a lifebond between you and an allied player. While bonded, 30% of the damage they take is instead redistributed to you. You and your bonded ally also gain Minor Vitality, increasing your healing received and damage shield strength by 6%. The bond will remain until you recast the spell or move more than 15 meters away from your ally.",Mystic Guard,63335,"You and your bonded ally also gain Minor Vitality, increasing your healing received.",Stalwart Guard,63351,Support-Stalwart Guard,"You and your bonded ally also gain Minor Force, increasing your Critical Damage.",Support-Mystic Guard,,,,,Stamina,15 meters,,,,,,,,,,,,
Online:Haggling,Thieves Guild,Stolen items sold at a fence are worth 2% more. Does not apply to Laundering.,Thieves Guild-Haggling,76461,,,Passive Effect,Passive,Improved Fencing,Stolen items sold at a fence are worth 4% more. Does not apply to Laundering.,Increase Currency Gain,3,,,,,,6,,,76458,76459,,,,,,,,,,,Thieves Guild,,,,,,,,,,Stolen items sold at a fence are worth 7% more. Does not apply to Laundering.,9,76460,,,,
Online:Hand Brush,Excavation,Removes 1 layer of soil or rock from a 1x1 area. Generates: 1 Intuition Maximum Intuition: 2.,Excavation-Hand Brush,139909,,,Passive Effect,Passive,Antiquities,Removes 1 layer of soil or rock from a 1x1 area. Generates: 1 Intuition Maximum Intuition: 4.,,1,,,,,,6,,,,,,,,,,,,,,,Greymoor,,,,,,,,,,,,,,,,
Online:Harnessed Quintessence,Herald of the Tome,"You master the warp and weft of your very soul. When you restore Magicka or Stamina, your Weapon Damage and Spell Damage increase by 142 for 10 seconds.",Herald of the Tome-Harnessed Quintessence,184858,10.3.5,"* This passive now increases your Weapon and Spell Damage by 142/284 when you are restored Magicka or Stamina, instead of by 2/5%.",Increase Weapon Damage,Passive,Increase Spell Damage,"You master the warp and weft of your very soul. When you restore Magicka or Stamina, your Weapon Damage and Spell Damage increase by 284 for 10 seconds.",,14,,,,,,27,,,184857,184858,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Haste (Companion),Light Armor (Companion),"Your Companion focuses their magical energies inward, resetting the cooldown of all their other abilities.",Companion-Haste,156340,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,20,36 seconds,Self,0.6 seconds,,,,,,,,,,,,,,,,,Blackwood,,,,,,,Reduce Cooldown,,,,,,,,,
Online:Hasty Retreat,Bow,WITH BOW EQUIPPED Grants you Major Expedition for 2 seconds after you use Roll Dodge. Major Expedition increases your Movement Speed by 30%.,Bow-Hasty Retreat,45498,2.1.4,"* This passive now grants the Major Expedition buff for 1 second/2 seconds instead of a 30% movement speed bonus. We also increased this ability's duration to 2.5 seconds at Rank I from 1 second, and 5 seconds at Rank II from 2 seconds.",Passive Effect,Passive,Increase Movement Speed,WITH BOW EQUIPPED Grants you Major Expedition for 4 seconds after you use Roll Dodge. Major Expedition increases your Movement Speed by 30%.,,41,,,,,,50,,,30923,45498,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Hawk Eye,Bow,"WITH BOW EQUIPPED Dealing damage with a Light or Heavy Attack increases the damage of your Bow abilities by 2% for 5 seconds, stacking up to 5 times.",Bow-Hawk Eye,45497,1.2.3,* Poison Arrow damage-over-time ticks now benefit from this passive ability.,Passive Effect,Passive,Light Attack Bonus,"WITH BOW EQUIPPED Dealing damage with a Light or Heavy Attack increases the damage of your Bow abilities by 5% for 5 seconds, stacking up to 5 times.",Heavy Attack Bonus,30,,,,,Increase Damage Dealt,46,,,30936,45497,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Haze of Cinders,Radiating Heart,"Tanlorin summons a scorching cloud of ash at the target location for 8 seconds, reducing enemy Movement Speed by 70% and healing them and their allies for 787 Health every 2 seconds.",Companion-Haze of Cinders,,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,17,12 seconds,Area,0.3 seconds,,,,,,,,,,,,,,,,,,8 seconds,,,28 meters,,5 meters,Heal Self,Heal Others,,,,,,Reduce Movement Speed,,
Online:Healing Ritual,Restoring Light,"Focus your spiritual devotion, healing you and nearby allies for [6918 / 6994 / 7070 / 7146] Health.",Restoring Light-Healing Ritual,27342,1.1.2,* Ritual of Rebirth: Increased the self-healing on this Healing Ritual morph.,Area of Effect,,Heal Self,"Cost: [5265 / 5175 / 5085 / 4995] Magicka. Focus your spiritual devotion, healing you and nearby allies for 7146 Health. Affected targets gain Minor Expedition, increasing their Movement Speed by 15% for 10 seconds.",Heal Others,,4,5265 Magicka,Area,Instant,Increase Movement Speed,,ON-skill-Healing Ritual.jpg,A character casting Healing Ritual,,,"Focus your spiritual devotion, healing you and nearby allies for 7146 Health. You heal a single ally outside this ability's radius for an additional [7146 / 7224 / 7303 / 7381] Health.",Ritual of Rebirth,27352,You heal a single ally outside the ability's radius.,Hasty Prayer,27376,Restoring Light-Hasty Prayer,Healed allies gain Minor Expedition for a short duration and reduces the cost as the ability ranks up.,Restoring Light-Ritual of Rebirth,Magicka Cost,,,,Magicka,,,10 meters,,,,,,,,,,
Online:Healing Seed,Green Balance,"Summon a field of flowers which blooms after 6 seconds, healing you and allies in the area for [9222 / 9324 / 9425 / 9527] Health. An ally within the field can activate the Harvest synergy, healing for 9222 Health over 5 seconds.",Green Balance-Healing Seed,93804,3.1.5,* Fixed a grammatical error in the tooltip of this ability and its morphs. * Budding Seeds: This morph can now be cast even if you have an enemy targeted in your reticle.,Heal Self,,Heal Others,"Summon a field of flowers which blooms after 6 seconds, healing you and allies in the area for [9528 / 9631 / 9737 / 9842] Health. Enemies who enter the field are afflicted with Major Defile and Minor Cowardice, reducing their healing received and damage shield strength by 12% and their Weapon Damage and Spell Damage by 215. An ally within the field can activate the Harvest synergy, healing for 9222 Health over 5 seconds.",Area of Effect,,4,2430 Magicka,Ground,Instant,Synergy,,ON-skill-Healing Seed.jpg,Healing Seed and its morphs visual,,,"Summon a field of flowers which blooms after 6 seconds, healing you and allies in the area for 9528 Health. While the field grows, you and allies are healed for [1086 / 1099 / 1110 / 1123] Health every 1 second. You can activate this ability again to cause it to instantly bloom. An ally within the field can activate the Harvest synergy, healing for 9222 Health over 5 seconds.",Budding Seeds,93807,"The area now heals allies while it grows, and can be activated a second time to instantly trigger the delayed heal.",Corrupting Pollen,93810,Green Balance-Corrupting Pollen,Enemies in the field receive less healing and have reduced Weapon Damage and Spell Damage.,Green Balance-Budding Seeds,Reduce Healing,Crown Store,6 seconds,Reduce Weapon/Spell Damage,Magicka,28 meters,Magicka Cost,,,,,,,,,,,8 meters
Online:Healing Tides,Curative Runeforms,Your mastery of weaving fate and abyssal water increases your healing done by 2% for each active Crux.,Curative Runeforms-Healing Tides,185186,10.3.5,"* This passive now increases the Healing Done per Crux by 2/4%, up from 1/3% per Crux.",Increase Healing Done,Passive,,Your mastery of weaving fate and abyssal water increases your healing done by 4% for each active Crux.,,8,,,,,,18,,,185185,185186,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Health Avarice,Bone Tyrant,Increase your Healing Received by 1% for each Bone Tyrant ability slotted.,Bone Tyrant-Health Avarice,116270,11.0.5,"* This passive now increases your Healing Taken by 1/3% per Bone Tyrant ability slotted, up from 1/2%.",Increase Healing Received,Passive,Passive Effect,Increase your Healing Received by 3% for each Bone Tyrant ability slotted.,,22,,,,,,36,,,116269,116270,,,,,,,,,,,Elsweyr,,,,,,,,,,,,,,,,
Online:Heart of Stone,Earthen Heart,"Rock and stone shield your heart, turning aside sharp blades and barbed words. Increases your Armor by 1487.",Earthen Heart-Heart of Stone,44996,,,,Passive,,"Rock and stone shield your heart, turning aside sharp blades and barbed words. Increases your Armor by 2974.",,8,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Hearthfire,Ardent Flame,"Throw out a kindled flame, filling a large area with warmth for 15 seconds. This fire heals you and your allies at the target location for [1149 / 1160 / 1173 / 1185] Health every 1 second. Healed targets gain Minor Fortitude and Minor Heroism while inside, increasing Health Recovery by 15% and generating 1 Ultimate every 1.5 seconds.",Ardent Flame-Hearthfire,33778,,,,,,"Cost: [351 / 324 / 297 / 270] Magicka / 1s. Throw out a protective flame for 15 seconds, healing you and allies inside for 618 Health every 1 second, scaling off your Max Health. Healed targets gain Minor Fortitude and Minor Heroism while inside, increasing Health Recovery by 15% and generating 1 Ultimate every 1.5 seconds. You gain Major Protection while inside, reducing damage taken by 10%. Enemies inside have their Movement Speed reduced by 70%.",,,30,351 Magicka / 1s,Ground,Instant,,,,,,,"Throw out a purifying flame, filling a large area with warmth for 15 seconds. This fire heals you and your allies at the target location for [1190 / 1203 / 1216 / 1229] Health every 1 second. This healing increases by 50% if you are in the area. Healed targets gain Minor Fortitude and Minor Heroism for 15 seconds, increasing Health Recovery by 15% and generating 1 Ultimate every 1.5 seconds.",Fire Keeper,33797,Heals for significantly more if you stand in the area. Minor buffs persist after being healed.,Hearth and Home,33816,Ardent Flame-Hearth and Home,"While inside, you gain Major Protection and enemies move slower. Healing now scales off Max Health. Reduces the cost as the ability ranks up.",Ardent Flame-Fire Keeper,,,15 seconds,,,22 meters,,,,,,,,,,,,8 meters
Online:Heavy Armor Bonuses,Heavy Armor,Each piece of Heavy Armor does the following: Reduces damage taken from Martial attacks by 1% Increases the amount of damage blocked by 1% Increases damage done with Bash by 30 Reduces your damage taken while immune to crowd control by 1%,Heavy Armor-Heavy Armor Bonuses,150184,,,Passive Effect,Passive,Reduce Damage Taken,,Increase Block,1,,,,,Increase Damage Dealt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Heavy Armor Penalties,Heavy Armor,Each piece of Heavy Armor does the following: Increases damage taken from Magical attacks by 1% Reduces the Movement Speed bonus of Sprint by 1% Increases the cost of Roll Dodge by 3% Increases the size of your detection area while Sneaking by 10%,Heavy Armor-Heavy Armor Penalties,152780,,,Passive Effect,Passive,Drawbacks,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Heavy Shovel,Excavation,Removes 1 layer of dirt and rocks from up to a 3x3 area. The shovel only affects a single contiguous height of dirt and rocks. Costs 2 Intuition to use.,Excavation-Heavy Shovel,139907,,,Passive Effect,Passive,Antiquities,Removes 1 layer of dirt and rocks from up to a 3x3 area. The shovel only affects a single contiguous height of dirt and rocks. Costs 2 Intuition to use. Has a chance to consume no Intuition on use.,,4,,,,,,8,,,,,,,,,,,,,,,Greymoor,,,,,,,,,,,,,,,,
Online:Heavy Weapons,Two Handed,WITH A TWO-HANDED WEAPON EQUIPPED Grants a bonus based on the type of weapon equipped: Swords increase your Weapon Damage and Spell Damage by 129. Axes increase your Critical Damage done by 6%. Maces increase your Offensive Penetration by 1487.,Two Handed-Heavy Weapons,45430,1.2.3,"* This passive ability now scales based on weapon damage instead of spell damage. It also no longer ticks for zero damage at low levels, and Rank I's axe damage modifier will now properly be weaker than that of Rank II.",Passive Effect,Passive,Increase Weapon Damage,WITH A TWO-HANDED WEAPON EQUIPPED Grants a bonus based on the type of weapon equipped: Swords increase your Weapon Damage and Spell Damage by 258. Axes increase your Critical Damage done by 12%. Maces increase your Offensive Penetration by 2974.,Increase Spell Damage,10,,,,,Increase Critical Damage,25,,,29375,45430,,,,,,,,,,Physical Penetration,,,Spell Penetration,,,,,,,,,,,,,,
Online:Helping Hands,Earthen Heart,WITH AN EARTHEN HEART ABILITY SLOTTED The strength of mountains fuels your mightiest blows. Dealing damage with a fully-charged Heavy Attack also applies Off Balance to the target.,,45009,3.0.5,* This passive ability now restores Stamina based on your character level instead of your Max Stamina.,Passive Effect,Passive,Restore Stamina,WITH AN EARTHEN HEART ABILITY SLOTTED The strength of mountains fuels your mightiest blows. Dealing damage with a fully-charged Heavy Attack also applies Off Balance to the target and restores 1430 Stamina. The Stamina restore can occur once every 0.5 seconds.,,39,,,,,,50,,,29475,45009,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Hemorrhage,Assassination,"WITH AN ASSASSINATION ABILITY SLOTTED Increases your Critical Damage by 5%. Critically striking in any form grants you and your group Minor Savagery, increasing your Weapon Critical rating by 1314 for 10 seconds.",Assassination-Hemorrhage,45060,1.6.5,* This passive now provides the Minor Force buff for 20 seconds to all allies whenever you crit.,Passive Effect,Passive,Increase Critical Damage,"WITH AN ASSASSINATION ABILITY SLOTTED Increases your Critical Damage by 10%. Critically striking in any form grants you and your group Minor Savagery, increasing your Weapon Critical rating by 1314 for 20 seconds.",Weapon Critical,39,,,,,Group Bonus,50,,,36641,45060,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Hidden Blade,Dual Wield,"Fire a secret dagger from your sleeve at an enemy, dealing [3690 / 3730 / 3771 / 3811] Physical Damage and granting you Major Brutality and Sorcery, increasing your Weapon Damage and Spell Damage by 20% for 20 seconds. If the enemy hit is casting an ability they are interrupted, set Off Balance, and stunned for 3 seconds.",Dual Wield-Hidden Blade,40610,1.1.2,"* Flying Blade: ** Increased the cost of Flying Blade. It now has the same cost as Hidden Blade. ** Those who have spent Skill Points in the Flying Blade passive will have those points returned to their overall skill point pool. You may place those Skill Points back in this ability if you wish, or invest them elsewhere.",Physical Damage,,Increase Weapon Damage,"Fire a secret dagger from your sleeve at an enemy, dealing [3811 / 3852 / 3894 / 3936] Physical Damage and marking them for 5 seconds. If the enemy hit is casting an ability they are interrupted, set Off Balance, and stunned for 3 seconds. Reactivating this ability on them allows you to jump to a marked enemy free of cost, dealing [5717 / 5779 / 5842 / 5905] Physical Damage. Casting grants you Major Brutality and Sorcery, increasing your Weapon Damage and Spell Damage by 20% for 40 seconds.",Increase Spell Damage,,38,3780 Stamina,Enemy,Instant,Interrupt,,ON-skill-Hidden_Blade.jpg,Hidden Blade,,,"Area: 8 meters. Fire a secret dagger from your sleeve that bounces up to 3 times to nearby enemies, dealing [4764 / 4816 / 4868 / 4921] Physical Damage per hit. If enemies hit are casting they are interrupted, set Off Balance, and stunned for 3 seconds. You also gain Major Brutality and Sorcery, increasing your Weapon Damage and Spell Damage by 20% for 20 seconds.",Shrouded Daggers,40619,"Increases the damage, and the dagger now bounces up to a total of three times.",Flying Blade,40628,Dual Wield-Flying Blade,Casting the ability again against the same target causes you to jump to them. Extends the duration of Major Brutality and Sorcery.,Dual Wield-Shrouded Daggers,Off-Balance,,,Stun,Stamina,22 meters,Multiple Targets,,,,Charge,,,,Stamina Cost,,100%,
Online:Hideous Clarity,Curative Runeforms,"You've stared too long into the abyss. When you generate Crux, you restore 112 Magicka and Stamina.",Curative Runeforms-Hideous Clarity,185243,10.3.5,"* This passive now restores both Magicka and Stamina, instead of just the highest of your max resources.",Restore Magicka,Passive,Restore Stamina,"You've stared too long into the abyss. When you generate Crux, you restore 225 Magicka and Stamina.",,14,,,,,,27,,,185240,185243,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Highborn,High Elf,Increases your experience gain with the Destruction Staff skill line by 15%. Increases your experience gained by 1%.,High Elf-Highborn,35965,2.5.5,"* This passive ability has been renamed to ""Highborn."" Also, in addition to the current benefit it now increases your experience gained by 1%.",Innate Effect,Passive,Increase Experience Gain,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Online:Hircine's Bounty,Werewolf,"Invoke the Huntsman's blessing, healing you for [5520 / 5580 / 5641 / 5702] Health, scaling off your Max Health. You also restore 10% Stamina, increasing by up to 100% based on how high your current Health is. Current Restore: 3000 While slotted you gain Major Brutality and Sorcery, increasing your Weapon Damage and Spell Damage by 20%.",Werewolf-Hircine's Bounty,58316,1.5.2,* Added some new werewolf abilities: ** Hircine's Bounty: This ability is a large heal that costs magicka. ** Infectious Claws: This ability instantly deals damage to all enemies in front of you and causes disease damage over time. ** Piercing Howl: This ability deals high damage and stuns your enemy.,Heal Self,,Restore Stamina,"Invoke the Huntsman's blessing, healing you for [6272 / 6340 / 6409 / 6478] Health, scaling off your Max Health. You also restore 12% Stamina, increasing by up to 100% based on how high your current Health is. Current Restore: 3600 While slotted you gain Major Brutality, Sorcery, and Vitality increasing Weapon Damage and Spell Damage by 20% and healing received and damage shield strength by 12%.",Slotted Effect,,4,4320 Magicka,Self,Instant,Increase Weapon Damage,,ON-skill-Hircine's Bounty.jpg,Werewolf using Hircine's Bounty,,,"Invoke the Huntsman's blessing, healing you for 9102 Health, granting double Fury, and increasing your damage done and taken by up to 12% for [17 / 18 / 19 / 20] seconds, based on how high your current Health is. You also restore 10% Stamina, increasing by up to 100%, based on how high your current Health is. Current Restore: 3000 While slotted you gain Major Brutality and Sorcery and Minor Berserk.",Hircine's Rage,58323,"Healing now scales with offensive stats, grants double Fury, and passively grants Minor Berserk while slotted. Increases damage done and taken based on your current Health.",Hircine's Fortitude,58334,Werewolf-Hircine's Fortitude,Increases the healing and stamina restored. Passively grants Major Vitality while slotted.,Werewolf-Hircine's Rage,Increase Spell Damage,,,Increase Damage Dealt,Magicka,,Increase Damage Taken,,,,Health Recovery,,,,Stamina Recovery,,,
Online:Hireling (Enchanting),Enchanting,A hireling will send you some runestones every day.,Enchanting-Enchanter Hireling,46772,,,Crafting Effect,Passive,Free Items,A hireling will send you runestones every day. You have a chance at Essence and better Aspect runestones.,,3,,,,,,12,,,46770,46771,,,,,,,,,,,,,,,,,,,,,A hireling will send you runestones every day. You have a greater chance at Essence and better Aspect runestones.,32,46772,,,,
Online:Hireling (Provisioning),Provisioning,A hireling will send you some provisioning ingredients every day.,Provisioning-Forager Hireling,44641,,,Crafting Effect,Passive,Free Items,A hireling will send you more provisioning ingredients every day. You have a chance at better quality ingredients.,,28,,,,,,38,,,44634,44640,,,,,,,,,,,,,,,,,,,,,A hireling will send you even more provisioning ingredients every day. You have a greater chance at better quality ingredients.,48,44641,,,,
Online:Holy Ground,Healing Grace,"Isobel Veloise consecrates the ground under them for 8 seconds, healing themselves and nearby allies 750/1500 Health every 2 seconds and snaring enemies by 50%. Used when Isobel Veloise or a nearby ally is below 75% Health, or if an enemy is nearby.",Companion-Holy Ground,163660,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,8,15.5 seconds,Area,0.5 seconds,,,,,,,,,,,,,,,,,High Isle,8 seconds,,,,,12 meters,Heal Self,Heal Others,,,,,,Reduce Movement Speed,,
Online:Hunter's Eye,Wood Elf,Increases your Stealth Detection radius by 1 meter. Increases your Movement Speed by 1% and your Physical Penetration and Spell Penetration by 300.,Wood Elf-Hunter's Eye,45296,4.3.5,"* Stealthy: Reduces detection Radius by 3m and Increases Damage Done in Stealth by 10% → Hunter's Eye: Increases your Stealth detection radius by 3m. After you use Roll Dodge you gain 10% Movement Speed for 6 seconds and a bonus to Physical and Spell Penetration of 1500 for the duration. ** Developer Comment: Previously if you weren't able to utilize Stealth, you lost a large portion of effectiveness that Wood Elves provided, so we've put the bulk of their power into their flat bonuses to Stamina and recovery. We also wanted to have more of a distinct play pattern on how Wood Elves and Khajiit both engaged with Stealth, so we've repurposed Wood Elves' passive into one that deals with turning their proficiency of Stealth into a proficiency of hunting Stealthed targets. Additionally, since Stealth is not always engaged with at the same rate across the game, we added a small boon to when you activate Roll Dodge to help enhance mobility and offensive turning power in order to slip to safety or reposition for an unexpected attack.",Passive Effect,Passive,Detection,Increases your Stealth Detection radius by 2 meters. Increases your Movement Speed by 3% and your Physical Penetration and Spell Penetration by 600.,Increase Movement Speed,5,,,,,Physical Penetration,15,,,36022,45295,,,,,,,,,,Spell Penetration,,,,,,,,,,,Increases your Stealth Detection radius by 3 meters. Increases your Movement Speed by 5% and your Physical Penetration and Spell Penetration by 950.,30,45296,,,,
Online:Hurricane Visage,Mischievous Caster,"Ember manifests themselves as pure lightning, zapping nearby enemies with electricity dealing 1611/3087 Shock Damage over 8 seconds. While in this form their damage taken is reduced by 20%.",Companion-Hurricane Visage,165860,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,5,12 seconds,Self,0.4 seconds,,,,,,,,,,,,,,,,,High Isle,8 seconds,,,,,,Shock Damage,Area of Effect,,,,,,Damage Over Time,,
Online:Icy Aura,Winter's Embrace,"WITH A WINTER'S EMBRACE ABILITY SLOTTED When you take direct damage from an enemy in melee range, you apply a stack of Bite of Winter to them for 1.5 seconds, up to 5 stacks max. Attackers at max stacks are afflicted with Major Maim for 1.5 seconds, reducing their damage done by 10%.",Winter's Embrace-Icy Aura,86194,11.0.5,"* This passive now causes attackers in melee range to receive a stack of Winter's Bite for 1.5/3 seconds, up to 5 stacks max. Attackers at 5 stacks are afflicted with Major Maim for 1.5/3 seconds. This passive no longer reduces the effectiveness of snares against you by 7/15%.",Passive Effect,Passive,Counter Attack,"WITH A WINTER'S EMBRACE ABILITY SLOTTED When you take direct damage from an enemy in melee range, you apply a stack of Bite of Winter to them for 3 seconds, up to 5 stacks max. Attackers at max stacks are afflicted with Major Maim for 3 seconds, reducing their damage done by 10%.",Reduce Damage Dealt,22,,,,,,36,,,86193,86194,,,,,,,,,,,Crown Store,,,,,,,,,,,,,,,,
Online:Igneous Armor,Draconic Armor,"Tanlorin releases their inner Dragon to gain Major Resolve for themselves and their grouped allies, increasing their Physical and Spell Resistance by 90 for 6 seconds. They gain a damage shield that absorbs up to 5948 damage for 6 seconds, scaling off their Max Health",Companion-Igneous Armor,,3.0.5,"* Fixed an issue where ranking up a summon ability (Unstable Familiar, Summon Winged Twilight, Feral Guardian, etc.) would unsummon your pet.",,Companion,,,,,14,12 seconds,Self,0.2 seconds,,,,,,,,,,,,,,,,,,6 seconds,,,,,12 meters,Increase Physical Resistance,Increase Spell Resistance,,,,,,Damage Shield,,
Online:Illuminate,Dawn's Wrath,"Casting a Dawn's Wrath ability grants Minor Sorcery to you and your group for 10 seconds, increasing your Spell Damage by 10%.",Dawn's Wrath-Illuminate,45215,1.6.5,"* This passive now provides nearby allies with the Minor Sorcery buff for 10 seconds at Rank I, and 20 seconds at Rank II, when a Dawns Wrath ability is activated.",Passive Effect,Passive,Increase Spell Damage,"Casting a Dawn's Wrath ability grants Minor Sorcery to you and your group for 20 seconds, increasing your Spell Damage by 10%.",Group Bonus,22,,,,,,36,,,31743,45215,,,,,,,,,,,,,,,,,,,,,,,,,,,
